Complaint_ID,Date,State,Hospital_Type,Department,Complaint_Category,Severity,Resolved
CMP100000,2024-11-23,West Bengal,CHC,Outpatient,Billing issues,Medium,No
CMP100001,2024-02-27,Karnataka,Medical College Hospital,Surgery,Long wait time,Low,No
CMP100002,2024-01-13,Karnataka,PHC,Emergency,Unavailability of medicine,High,Yes
CMP100003,2024-05-20,Tamil Nadu,District Hospital,Emergency,Rude staff,Low,No
CMP100004,2024-05-05,Uttar Pradesh,District Hospital,Maternity,Long wait time,Medium,Yes
CMP100005,2024-04-24,Rajasthan,District Hospital,Outpatient,Lack of communication,High,No
CMP100006,2024-03-12,Maharashtra,Medical College Hospital,Surgery,Unclean wards,High,No
CMP100007,2024-02-22,Bihar,District Hospital,Diagnostics,Unclean wards,Low,Yes
CMP100008,2024-12-12,Maharashtra,District Hospital,Outpatient,Unclean wards,High,No
CMP100009,2024-10-06,Uttar Pradesh,CHC,Outpatient,Rude staff,Medium,Yes
CMP100010,2024-02-14,Uttar Pradesh,Medical College Hospital,Surgery,Lack of communication,Low,Yes
CMP100011,2024-10-29,Bihar,Medical College Hospital,Maternity,Unavailability of medicine,Low,No
CMP100012,2024-08-04,Tamil Nadu,District Hospital,Outpatient,Rude staff,Low,No
CMP100013,2024-01-17,West Bengal,Medical College Hospital,Surgery,Unavailability of medicine,Low,Yes
CMP100014,2024-01-16,Rajasthan,CHC,Maternity,Billing issues,High,No
CMP100015,2024-02-17,Karnataka,CHC,Outpatient,Rude staff,Medium,No
CMP100016,2024-04-21,Tamil Nadu,PHC,Surgery,Lack of communication,Low,Yes
CMP100017,2024-04-29,Uttar Pradesh,CHC,Maternity,Lack of communication,Medium,No
CMP100018,2024-09-15,Uttar Pradesh,PHC,Surgery,Test delays,Medium,No
CMP100019,2024-11-04,Rajasthan,District Hospital,Diagnostics,Billing issues,Medium,No
CMP100020,2024-01-14,Tamil Nadu,PHC,Maternity,Rude staff,Low,Yes
CMP100021,2024-10-14,Karnataka,PHC,Emergency,Billing issues,Low,No
CMP100022,2024-04-11,Karnataka,District Hospital,Pediatrics,Billing issues,High,Yes
CMP100023,2024-11-28,Uttar Pradesh,PHC,Maternity,Lack of communication,Low,Yes
CMP100024,2024-12-25,West Bengal,CHC,Surgery,Rude staff,Low,Yes
CMP100025,2024-10-06,Karnataka,District Hospital,Pharmacy,Long wait time,Medium,Yes
CMP100026,2024-08-02,Karnataka,Medical College Hospital,Maternity,Unclean wards,Medium,Yes
CMP100027,2024-04-22,Bihar,PHC,Diagnostics,Lack of communication,Medium,No
CMP100028,2024-08-17,West Bengal,CHC,Maternity,Billing issues,High,No
CMP100029,2024-10-28,Bihar,Medical College Hospital,Maternity,Unclean wards,Low,No
CMP100030,2024-05-22,Maharashtra,District Hospital,Diagnostics,Lack of communication,Low,Yes
CMP100031,2024-01-04,Tamil Nadu,District Hospital,Emergency,Rude staff,High,Yes
CMP100032,2024-03-22,Uttar Pradesh,District Hospital,Outpatient,Billing issues,Low,No
CMP100033,2024-12-23,Karnataka,CHC,Pediatrics,Unclean wards,Low,No
CMP100034,2024-08-04,Maharashtra,Medical College Hospital,Outpatient,Lack of communication,Medium,No
CMP100035,2024-06-23,Bihar,District Hospital,Surgery,Unclean wards,Medium,No
CMP100036,2024-05-22,Karnataka,CHC,Diagnostics,Unavailability of medicine,Low,No
CMP100037,2024-03-20,Tamil Nadu,CHC,Surgery,Long wait time,High,No
CMP100038,2024-04-20,Bihar,Medical College Hospital,Pharmacy,Test delays,Low,No
